,id,version,set_num
31810,128256,1,5005843-1
31811,128257,1,BAGCHARM-4
31812,128258,1,BAGCHARM-5
31813,128259,1,5005842-1
31814,128260,1,5005834-1
31815,128261,1,5005836-1
31816,128266,1,JUMPROPE-1
31817,128311,1,10298-1
31818,128325,1,UMBRELLA-1
31819,128330,1,MAGNET-1
31820,128357,1,5002774-1
31821,128360,1,PCGAME-1
31822,128381,1,BLANKET-1
31823,128404,1,40517-1
31824,128423,1,DSGAME-1
31825,128424,1,WIIGAME-3
31826,128426,1,21785-1
31827,128428,1,30175-1
31828,128429,1,1000368666-1
31829,128430,1,PCGAME-2
31830,128431,1,XBOXGAME-1
31831,128433,1,XBOXGAME-2
31832,128434,1,GBAGAME-4
31833,128435,1,DSGAME-2
31834,128436,1,GCGAME-1
31835,128438,1,PSGAME-3
31836,128440,1,PCGAME-3
31837,128442,1,2321066-1
31838,128444,1,1000709806-1
31839,128445,1,XBOXGAME-3
31840,128447,1,1000709804-1
31841,128450,1,PCGAME-4
31842,128461,1,1000229927-1
31843,128462,1,333614-3
31844,128463,1,33768-4
31845,128464,1,33339-1
31846,128465,1,30141-2
31847,128467,1,33355-7
31848,128468,1,33318-6
31849,128470,1,33318-1
31850,128472,1,5002666-1
31851,128473,1,2191722-1
31852,128475,1,10000549412-1
31853,128477,1,1000577871-1
31854,128478,1,4084039-1
31855,128479,1,5005323-1
31856,128480,1,1000565897-5
31857,128481,1,1000430096-8
31858,128482,1,5705-1
31859,128486,1,32960-1
31860,128487,1,3297601-1
31861,128490,1,3297501-1
31862,128491,1,32939-1
31863,128492,2,9470-1
31864,128505,1,PCGAME-9
31865,128506,1,32961-1
31866,128507,1,32958-1
31867,128508,1,1000739974-1
31868,128509,1,MACGAME-2
31869,128510,1,32918-1
31870,128511,1,XBOXGAME-9
31871,128512,1,1000692713-1
31872,128513,1,21083-1
31873,128514,1,1000643461-1
31874,128515,1,GCGAME-3
31875,128516,1,1000648795-1
31876,128517,1,PCGAME-7
31877,128518,1,MACGAME-3
31878,128519,1,PCGAME-10
31879,128520,1,33076-1
31880,128522,1,33061-1
31881,128524,1,33063-1
31882,128527,1,33018-1
31883,128529,1,MACGAME-4
31884,128530,1,1000629598-1
31885,128531,1,1000724950-1
31886,128532,1,1000709807-1
31887,128533,1,1000704831-2
31888,128534,1,1000704832-13
31889,128535,1,1000724951-1
31890,128538,1,850436-1
31891,128539,1,PCGAME-12
31892,128540,1,1000600263-1
31893,128578,1,112216-1
31894,128638,1,fig-012301
31895,128658,1,1000565740-1
31896,128659,1,1000565742-1
31897,128661,1,1000565765-1
31898,128662,1,1000591519-1
31899,128663,1,1000591524-1
31900,128673,1,1000746530-1
31901,128674,1,1000565190-1
31902,128675,1,1000565140-1
31903,128678,1,1000739976-1
31904,128700,1,fig-012302
31905,128701,1,fig-012303
31906,128705,1,912281-1
31907,128819,2,60052-1
31908,128820,1,fig-012304
31909,128821,1,fig-012305
31910,128855,1,40530-1
31911,128873,1,662102-1
31912,128900,1,fig-012307
31913,128901,1,fig-012308
31914,128902,1,fig-012309
31915,128905,1,fig-012311
31916,128910,1,fig-012313
31917,128912,1,fig-012314
31918,128919,1,fig-012315
31919,128920,1,fig-012316
31920,128921,1,fig-012317
31921,128922,1,fig-012318
31922,128924,1,fig-012320
31923,128932,1,fig-012321
31924,128933,1,fig-012322
31925,128934,1,fig-012323
31926,128935,1,fig-012324
31927,128937,1,fig-012325
31928,128939,1,fig-012326
31929,128940,1,fig-012327
31930,128941,1,fig-012328
31931,128943,1,fig-012329
31932,128964,1,fig-012331
31933,128995,1,1000598000-1
31934,128996,1,1000739975-1
31935,128998,1,PCGAME-5
31936,129004,1,fig-012333
31937,129005,1,fig-012334
31938,129017,1,40503-1
31939,129025,1,fig-012336
31940,129026,1,fig-012337
31941,129028,1,40525-1
31942,129029,1,fig-012338
31943,129033,1,fig-012339
31944,129034,1,fig-012340
31945,129035,1,fig-012341
31946,129036,1,fig-012342
31947,129037,1,fig-012343
31948,129038,1,fig-012344
31949,129040,1,fig-012345
31950,129043,1,fig-012347
31951,129045,1,fig-012348
31952,129049,1,fig-012350
31953,129051,1,fig-012351
31954,129053,1,fig-012352
31955,129055,1,fig-012354
31956,129056,1,fig-012355
31957,129060,1,fig-012356
31958,129062,1,fig-012357
31959,129064,1,fig-012358
31960,129066,1,fig-012359
31961,129067,1,fig-012360
31962,129068,1,fig-012361
31963,129074,1,fig-012362
31964,129097,1,30434-1
31965,129104,2,9641-1
31966,129123,1,562202-1
31967,129149,1,fig-012363
31968,129150,1,fig-012364
31969,129151,1,fig-012365
31970,129153,1,fig-012366
31971,129155,1,40536-1
31972,129156,1,40535-1
31973,129157,1,854157-1
31974,129217,1,fig-012367
31975,129218,1,fig-012368
31976,129219,1,fig-012369
31977,129220,1,fig-012370
31978,129221,1,fig-012371
31979,129222,1,fig-012372
31980,129223,1,fig-012373
31981,129371,2,60271-1
31982,129450,2,76156-1
31983,129538,1,9781409338147-1
31984,129539,1,9781409338123-1
31985,129626,2,3862-1
31986,129711,1,5007203-1
31987,129779,1,40527-1
31988,129788,2,6661-1
31989,129795,1,212220-1
31990,129827,2,75947-1
31991,129846,2,393-1
31992,129908,1,5007338-1
31993,129909,1,5007337-1
31994,129993,1,71403-1
31995,129994,1,71408-1
31996,129995,1,71409-1
31997,129996,1,71405-1
31998,129997,1,71404-1
31999,129998,1,71407-1
32000,129999,1,71406-1
32001,130007,2,42121-1
32002,130045,1,5006396-2
32003,130046,1,6418411-1
32004,130050,1,5007220-1
32005,130054,1,5007219-1
32006,130102,1,fig-012375
32007,130148,2,7326-1
32008,130247,1,9001772-1
32009,130347,1,20209-1
32010,130348,1,20210-1
32011,130349,1,20211-1
32012,130350,1,20212-1
32013,130366,1,952203-1
32014,130383,1,fig-012376
32015,130430,2,6375-1
32016,130491,2,6392-1
32017,130628,2,11948-1
32018,130745,1,122219-1
32019,130775,2,8730-1
32020,130838,1,10300-1
32021,130935,1,5005946-1
32022,130937,1,9788325331399-1
32023,130944,1,9788325332594-1
32024,131258,1,fig-012377
32025,131260,1,fig-012378
32026,131261,1,fig-012379
32027,131264,1,fig-012381
32028,131266,1,fig-012382
32029,131270,1,fig-012383
32030,131273,1,fig-012384
32031,131276,1,fig-012386
32032,131278,1,fig-012388
32033,131279,1,fig-012389
32034,131361,1,fig-012390
32035,131363,1,fig-012391
32036,131364,1,fig-012392
32037,131370,1,fig-012393
32038,131377,1,40534-1
32039,131379,1,fig-012394
32040,131381,1,ROSEVILLE-1
32041,131382,1,ROSE2-1
32042,131383,1,892287-1
32043,131384,1,5006176-1
32044,131387,1,5006313-1
32045,131388,1,5006312-1
32046,131389,1,5006875-1
32047,131393,1,BELLE-1
32048,131394,1,fig-012395
32049,131397,1,fig-012396
32050,131400,1,5007406-1
32051,131401,1,5007408-1
32052,131402,1,5007405-1
32053,131403,1,5007407-1
32054,131483,1,5007138-1
32055,131522,2,5276-1
32056,131537,1,fig-012397
32057,131557,1,75339-1
32058,131559,1,75330-1
32059,131560,1,75329-1
32060,131738,3,6265-1
32061,131739,2,906-1
32062,131740,2,6928-1
32063,131752,1,fig-012398
32064,131753,1,fig-012399
32065,131754,1,fig-012400
32066,131756,1,fig-012401
32067,131799,1,5007230-1
32068,131800,1,5007229-1
32069,131823,2,7915-1
32070,131824,1,fig-012402
32071,131957,1,76832-1
32072,131958,1,76831-1
32073,131959,1,76830-1
32074,131969,1,fig-012403
32075,132089,1,5007332-1
32076,132207,1,fig-012404
32077,132208,1,fig-012405
32078,132209,1,fig-012406
32079,132210,1,fig-012407
32080,132211,1,fig-012408
32081,132212,1,fig-012409
32082,132230,2,80006-1
32083,132233,1,5006858-1
32084,132241,2,4642-1
32085,132243,1,fig-012411
32086,132244,1,fig-012412
32087,132315,1,75342-1
32088,132341,1,fig-012413
32089,132342,1,fig-012414
32090,132345,1,fig-012415
32091,132347,1,fig-012416
32092,132348,1,fig-012417
32093,132349,1,fig-012418
32094,132351,2,76171-1
32095,132359,1,fig-012419
32096,132360,1,fig-012420
32097,132375,1,41713-1
32098,132422,1,10962-1
32099,132424,1,11021-1
32100,132520,1,912282-1
32101,132550,2,880032-1
32102,132552,1,fig-012422
32103,132604,2,7957-1
32104,132606,1,fig-012423
32105,132608,1,fig-012425
32106,132647,1,fig-012426
32107,132648,1,fig-012427
32108,132649,1,fig-012428
32109,132650,1,fig-012429
32110,132684,1,tf11-1
32111,132701,1,fig-012430
32112,132784,2,410-1
32113,132852,1,4000038-1
32114,132945,1,42141-2
32115,133027,1,002253963-1
32116,133056,2,31109-1
32117,133071,1,fig-012431
32118,133072,1,fig-012432
32119,133073,1,fig-012433
32120,133074,1,fig-012434
32121,133075,1,fig-012435
32122,133076,1,fig-012436
32123,133077,1,fig-012437
32124,133078,1,fig-012438
32125,133081,1,fig-012439
32126,133082,1,fig-012440
32127,133083,1,fig-012441
32128,133084,1,fig-012442
32129,133085,1,fig-012443
32130,133086,1,fig-012444
32131,133087,1,fig-012445
32132,133088,1,fig-012446
32133,133089,1,fig-012447
32134,133108,1,76400-1
32135,133109,1,76408-1
32136,133110,1,76403-1
32137,133112,1,76407-1
32138,133113,1,76402-1
32139,133114,1,76401-1
32140,133115,1,76406-1
32141,133132,2,9442-1
32142,133133,2,8620-1
32143,133144,1,952204-1
32144,133158,1,fig-012448
32145,133163,1,112217-1
32146,133265,1,6412186-1
32147,133319,1,fig-012449
32148,133320,2,8089-1
32149,133424,1,fig-012450
32150,133425,1,fig-012451
32151,133426,1,fig-012452
32152,133427,1,fig-012453
32153,133428,1,fig-012454
32154,133429,1,fig-012455
32155,133438,2,43193-1
32156,133445,1,40529-1
32157,133553,1,5007155-1
32158,133554,1,5007089-1
32159,133555,1,5007090-1
32160,133556,1,5007094-1
32161,133557,1,5007158-1
32162,133586,1,242211-1
32163,133638,1,fig-012456
32164,133697,1,fig-012457
32165,133698,1,fig-012458
32166,133699,1,fig-012459
32167,133704,1,fig-012460
32168,133705,1,fig-012461
32169,133707,1,fig-012462
32170,133709,1,9788325327934-1
32171,133710,1,fig-012463
32172,133712,1,fig-012464
32173,133715,1,10309-1
32174,133716,1,10311-1
32175,133803,1,QXI7343-1
32176,133804,1,QXI7506-1
32177,133805,1,QXI7336-1
32178,133806,1,QXI7576-1
32179,133817,1,fig-012465
32180,133818,1,fig-012466
32181,133819,1,fig-012467
32182,133820,1,fig-012468
32183,133822,1,fig-012469
32184,133825,1,fig-012470
32185,133827,1,9788325330477-1
32186,133829,1,fig-012471
32187,133830,1,fig-012472
32188,133831,1,fig-012473
32189,133832,1,fig-012474
32190,133922,1,fig-012475
32191,133926,1,fig-012476
32192,133928,1,fig-012477
32193,133929,1,9788325332440-1
32194,133931,1,fig-012479
32195,133939,1,fig-012480
32196,133940,1,fig-012481
32197,133941,1,fig-012482
32198,133944,1,fig-012483
32199,133948,1,9788325317706-1
32200,133950,1,fig-012484
32201,133994,1,662103-1
32202,134030,1,fig-012485
32203,134031,1,fig-012486
32204,134034,1,fig-012487
32205,134035,1,fig-012488
32206,134036,1,fig-012489
32207,134037,1,fig-012490
32208,134040,1,fig-012491
32209,134041,1,fig-012492
32210,134044,1,fig-012493
32211,134045,1,fig-012494
32212,134049,1,fig-012495
32213,134050,1,fig-012496
32214,134051,1,fig-012497
32215,134052,1,fig-012498
32216,134053,1,fig-012499
32217,134055,1,fig-012500
32218,134056,1,fig-012501
32219,134058,1,fig-012503
32220,134060,1,76949-1
32221,134066,1,fig-012504
32222,134067,1,fig-012505
32223,134068,1,fig-012506
32224,134069,1,fig-012507
32225,134070,1,fig-012508
32226,134071,1,fig-012509
32227,134073,1,fig-012510
32228,134074,1,fig-012511
32229,134094,1,71033-0
32230,134095,1,71033-1
32231,134096,1,71033-2
32232,134098,1,71033-3
32233,134099,1,71033-4
32234,134101,1,71033-5
32235,134102,1,71033-6
32236,134103,1,71033-7
32237,134104,1,71033-8
32238,134105,1,71033-9
