,inventory_id,set_num,quantity
2099,16023,7734-1,1
2100,16023,7992-1,1
2101,16029,6581-1,1
2102,16029,6596-1,1
2103,16034,7731-1,1
2104,16034,7732-1,1
2105,16034,7733-1,1
2106,16034,7734-1,1
2107,16070,322-1,1
2108,16102,8057-1,1
2109,16102,8058-1,1
2110,16102,8059-1,1
2111,16102,8080-1,1
2112,16117,8621-1,1
2113,16117,8622-1,1
2114,16117,8623-1,1
2115,16126,8550-1,1
2116,16126,8551-1,1
2117,16126,8552-1,1
2118,16126,8553-1,1
2119,16126,8554-1,1
2120,16126,8555-1,1
2121,16126,8560-1,1
2122,16126,8561-1,1
2123,16126,8562-1,1
2124,16126,8563-1,1
2125,16126,8564-1,1
2126,16126,8565-1,1
2127,16127,10024-1,1
2128,16127,3451-1,1
2129,16131,1496-1,1
2130,16131,1497-1,1
2131,16138,3074-1,1
2132,16138,3075-1,1
2133,16138,3076-1,1
2134,16138,3077-1,1
2135,16150,3885-2,1
2136,16159,5969-1,1
2137,16159,5970-1,1
2138,16159,5972-1,1
2139,16159,5973-1,1
2140,16159,8400-1,1
2141,16180,9469-1,1
2142,16180,9470-1,1
2143,16180,9471-1,1
2144,16180,9472-1,1
2145,16180,9473-1,1
2146,16180,9474-1,1
2147,16180,9476-1,1
2148,16210,1790-1,1
2149,16210,1791-1,1
2150,16210,1792-1,1
2151,16226,3741-1,1
2152,16226,3743-1,1
2153,16254,6235-1,1
2154,16254,6245-1,1
2155,16319,20201-1,1
2156,16319,20202-1,1
2157,16337,8083-1,1
2158,16337,8084-1,1
2159,16337,8092-1,1
2160,16371,4855-1,1
2161,16371,4856-1,1
2162,16371,4857-1,1
2163,16423,71013-1,1
2164,16423,71013-10,1
2165,16423,71013-11,1
2166,16423,71013-12,1
2167,16423,71013-13,1
2168,16423,71013-14,1
2169,16423,71013-15,1
2170,16423,71013-16,1
2171,16423,71013-2,1
2172,16423,71013-3,1
2173,16423,71013-4,1
2174,16423,71013-5,1
2175,16423,71013-6,1
2176,16423,71013-7,1
2177,16423,71013-8,1
2178,16423,71013-9,1
2179,16460,71012-1,1
2180,16460,71012-10,1
2181,16460,71012-11,1
2182,16460,71012-12,1
2183,16460,71012-13,1
2184,16460,71012-14,1
2185,16460,71012-15,1
2186,16460,71012-16,1
2187,16460,71012-17,1
2188,16460,71012-18,1
2189,16460,71012-2,1
2190,16460,71012-3,1
2191,16460,71012-4,1
2192,16460,71012-5,1
2193,16460,71012-6,1
2194,16460,71012-7,1
2195,16460,71012-8,1
2196,16460,71012-9,1
2197,16593,71014-1,1
2198,16593,71014-10,1
2199,16593,71014-11,1
2200,16593,71014-12,1
2201,16593,71014-13,1
2202,16593,71014-14,1
2203,16593,71014-15,1
2204,16593,71014-16,1
2205,16593,71014-2,1
2206,16593,71014-3,1
2207,16593,71014-4,1
2208,16593,71014-5,1
2209,16593,71014-6,1
2210,16593,71014-7,1
2211,16593,71014-8,1
2212,16593,71014-9,1
2213,16594,71017-1,1
2214,16594,71017-10,1
2215,16594,71017-11,1
2216,16594,71017-12,1
2217,16594,71017-13,1
2218,16594,71017-14,1
2219,16594,71017-15,1
2220,16594,71017-16,1
2221,16594,71017-17,1
2222,16594,71017-18,1
2223,16594,71017-19,1
2224,16594,71017-2,1
2225,16594,71017-20,2
2226,16594,71017-3,1
2227,16594,71017-4,1
