,inventory_id,fig_num,quantity
232,330,fig-007381,1
233,330,fig-007382,1
234,332,fig-003086,1
235,332,fig-006098,1
236,332,fig-006108,1
237,332,fig-006109,1
238,334,fig-001351,1
239,335,fig-000236,2
240,336,fig-009149,1
241,336,fig-009150,1
242,337,fig-000341,2
243,349,fig-003302,1
244,349,fig-003303,1
245,350,fig-000065,3
246,354,fig-000105,1
247,354,fig-006958,1
248,354,fig-006959,1
249,357,fig-000149,1
250,369,fig-000068,1
251,372,fig-003276,1
252,372,fig-003277,1
253,372,fig-003278,1
254,373,fig-000123,1
255,373,fig-000738,1
256,374,fig-000692,1
257,375,fig-006799,1
258,375,fig-006800,1
259,378,fig-000956,1
260,385,fig-000729,1
261,394,fig-000584,1
262,395,fig-004978,1
263,395,fig-004979,1
264,395,fig-004986,1
265,397,fig-000656,1
266,401,fig-000130,1
267,403,fig-005062,1
268,403,fig-005307,1
269,403,fig-005308,1
270,409,fig-005073,1
271,409,fig-005074,1
272,409,fig-005075,1
273,411,fig-000100,1
274,412,fig-000669,1
275,412,fig-005652,1
276,412,fig-005653,1
277,422,fig-000715,1
278,422,fig-008814,1
279,422,fig-008815,1
280,423,fig-009746,1
281,423,fig-009747,1
282,423,fig-009748,1
283,423,fig-009749,1
284,423,fig-009750,1
285,427,fig-003778,1
286,427,fig-003779,1
287,427,fig-003780,1
288,431,fig-007006,1
289,431,fig-007007,1
290,432,fig-001582,1
291,432,fig-001659,1
292,432,fig-007891,1
293,432,fig-007892,1
294,433,fig-003807,1
295,433,fig-003808,1
296,433,fig-003809,2
297,434,fig-002773,1
298,434,fig-002774,1
299,434,fig-002775,1
300,436,fig-000470,2
301,436,fig-006972,1
302,437,fig-007882,1
303,437,fig-007884,1
304,437,fig-007885,1
305,437,fig-007886,1
306,437,fig-007887,1
307,437,fig-007888,1
308,440,fig-000312,1
309,441,fig-000400,1
310,441,fig-004757,1
311,441,fig-005126,1
312,442,fig-001200,1
313,444,fig-008052,1
314,444,fig-008058,1
315,446,fig-000020,1
316,447,fig-001561,1
317,452,fig-000397,1
318,454,fig-000124,1
319,454,fig-003536,1
320,454,fig-003537,1
321,454,fig-003538,1
322,454,fig-003539,1
323,454,fig-003540,1
324,457,fig-000504,1
325,465,fig-006554,1
326,465,fig-006854,1
327,465,fig-006857,1
328,465,fig-006861,1
329,465,fig-006866,1
330,465,fig-006871,1
331,467,fig-001127,1
332,467,fig-006910,1
333,468,fig-001363,1
334,468,fig-003332,1
335,468,fig-003333,1
336,468,fig-003334,1
337,468,fig-003335,1
338,472,fig-000195,1
339,475,fig-000762,1
340,475,fig-000782,2
341,477,fig-001147,1
342,482,fig-006882,1
343,482,fig-006883,1
344,484,fig-009315,1
345,491,fig-008687,1
346,491,fig-008688,1
347,498,fig-001134,2
348,499,fig-004970,1
349,499,fig-004973,1
350,502,fig-000775,1
351,505,fig-001190,1
352,505,fig-003309,2
353,505,fig-003315,1
354,505,fig-003316,1
355,505,fig-003317,1
356,506,fig-007616,1
357,506,fig-007617,1
358,506,fig-007618,1
359,506,fig-007619,1
360,511,fig-000457,1
361,511,fig-006084,1
362,511,fig-006122,1
363,511,fig-006157,1
364,511,fig-006159,1
365,511,fig-006160,1
366,511,fig-006161,1
367,512,fig-001024,1
368,517,fig-000560,1
369,518,fig-007208,1
370,518,fig-007210,1
371,523,fig-000806,1
372,523,fig-003781,1
373,523,fig-003810,2
374,523,fig-003811,1
375,541,fig-005963,1
376,541,fig-012384,1
377,544,fig-005958,1
378,544,fig-005959,1
379,544,fig-005960,1
380,547,fig-000532,1
381,549,fig-010665,1
382,551,fig-000523,1
383,557,fig-000294,1
384,557,fig-006750,1
385,557,fig-006752,1
386,557,fig-006753,1
387,557,fig-006754,1
388,557,fig-006755,1
389,557,fig-006757,1
390,557,fig-006758,1
391,557,fig-006759,1
392,557,fig-006761,1
393,557,fig-006762,1
394,557,fig-006763,1
395,558,fig-002118,1
396,558,fig-006478,1
397,558,fig-006479,1
398,560,fig-000262,1
399,567,fig-005678,1
400,567,fig-005679,1
401,575,fig-000090,1
402,576,fig-000023,1
403,577,fig-001168,1
404,577,fig-002214,1
405,577,fig-004562,1
406,577,fig-004563,1
407,577,fig-004564,1
408,587,fig-000738,1
409,589,fig-000186,1
410,591,fig-001293,1
411,593,fig-004929,1
412,593,fig-004930,1
413,593,fig-004931,1
414,593,fig-004936,1
415,595,fig-000472,1
416,599,fig-001529,1
417,601,fig-000675,1
418,603,fig-000449,1
419,605,fig-003425,1
420,605,fig-003426,1
421,613,fig-001499,1
422,618,fig-000208,1
423,618,fig-008011,2
424,618,fig-008012,1
425,620,fig-005885,1
426,620,fig-005886,1
427,621,fig-000144,1
428,621,fig-002473,1
429,621,fig-003893,1
430,621,fig-004046,1
431,621,fig-004047,2
432,621,fig-004048,2
433,621,fig-004049,1
434,621,fig-004050,1
435,621,fig-010458,1
436,621,fig-010459,1
437,621,fig-010460,1
438,621,fig-010462,1
439,622,fig-003181,1
440,622,fig-003187,1
441,622,fig-003201,1
442,623,fig-000580,1
443,623,fig-004809,1
444,624,fig-000742,1
445,624,fig-000745,1
446,637,fig-001516,1
447,641,fig-007245,1
448,641,fig-007246,1
449,641,fig-007247,1
450,641,fig-007248,1
451,646,fig-004798,1
452,646,fig-004799,1
453,646,fig-004800,1
454,647,fig-000109,1
455,647,fig-000447,1
456,647,fig-002512,1
457,653,fig-001436,1
458,655,fig-001348,1
459,656,fig-006300,1
460,659,fig-000252,1
461,660,fig-000129,1
462,676,fig-000219,1
463,680,fig-000653,1
464,681,fig-008196,1
465,681,fig-008197,1
466,681,fig-008198,1
467,687,fig-003798,1
468,687,fig-004025,1
469,687,fig-010457,1
470,701,fig-004119,1
471,701,fig-004120,2
472,703,fig-007549,1
473,703,fig-007550,1
474,703,fig-007551,1
475,703,fig-007552,1
476,722,fig-000669,1
477,728,fig-000070,1
478,728,fig-000406,1
479,731,fig-000739,1
480,731,fig-006430,1
481,734,fig-009556,1
482,734,fig-009557,1
483,736,fig-001479,1
484,736,fig-007577,1
485,736,fig-007578,1
486,736,fig-007579,1
487,736,fig-007580,1
488,736,fig-007581,1
489,737,fig-000850,1
490,737,fig-005229,1
491,737,fig-005300,1
492,737,fig-005453,1
493,740,fig-010059,1
494,740,fig-010117,1
495,740,fig-010118,1
496,741,fig-000588,1
497,742,fig-001525,1
498,742,fig-003450,1
499,742,fig-003451,1
500,742,fig-003452,1
501,751,fig-000208,1
502,752,fig-001585,1
503,752,fig-007825,1
504,752,fig-007826,1
505,752,fig-007827,1
506,753,fig-001321,1
507,754,fig-003283,1
508,754,fig-003284,1
509,754,fig-010267,1
510,755,fig-000109,1
511,756,fig-000069,1
512,756,fig-006863,1
513,756,fig-007423,1
514,756,fig-007428,1
515,756,fig-007459,1
516,762,fig-000285,1
517,762,fig-004971,1
518,762,fig-004972,1
519,763,fig-000198,1
520,764,fig-000866,1
521,764,fig-006644,1
522,766,fig-000054,1
523,766,fig-000078,1
524,766,fig-000124,1
525,766,fig-000235,1
526,766,fig-000837,1
527,766,fig-001063,1
528,766,fig-003798,1
529,766,fig-003799,1
530,771,fig-000609,1
531,771,fig-008033,1
532,771,fig-008034,1
533,773,fig-008005,1
534,773,fig-008006,1
535,773,fig-008007,1
536,773,fig-008008,1
537,774,fig-008209,1
538,774,fig-008210,1
539,774,fig-008211,1
540,774,fig-008212,1
541,774,fig-008213,1
542,777,fig-000411,1
543,777,fig-004851,2
544,777,fig-005860,1
545,777,fig-005861,1
546,777,fig-005862,1
547,780,fig-000259,1
548,782,fig-000020,1
549,782,fig-001127,2
550,783,fig-004848,1
551,786,fig-001411,1
552,788,fig-003612,4
553,788,fig-003668,3
554,789,fig-006980,1
555,791,fig-000097,1
556,793,fig-003732,1
557,796,fig-006555,1
558,796,fig-006573,1
559,796,fig-006870,1
560,799,fig-000020,1
561,799,fig-001127,1
562,801,fig-000489,1
563,801,fig-003232,1
564,803,fig-010494,1
565,807,fig-006855,1
566,807,fig-006856,1
567,808,fig-000070,1
568,808,fig-000406,1
569,811,fig-000697,1
570,814,fig-000438,1
571,814,fig-001211,1
572,819,fig-010740,1
573,820,fig-009502,1
574,820,fig-009503,1
575,820,fig-009504,1
576,820,fig-009505,1
577,820,fig-009506,1
578,820,fig-009507,1
579,820,fig-009508,1
580,820,fig-009509,1
581,820,fig-009510,1
582,820,fig-009511,1
583,820,fig-009512,1
584,820,fig-009513,1
585,827,fig-000919,1
586,831,fig-004198,1
587,831,fig-004199,1
588,831,fig-004200,1
589,831,fig-004201,1
590,832,fig-007288,1
591,832,fig-007289,1
592,832,fig-007290,1
593,832,fig-007291,1
594,832,fig-007292,1
595,832,fig-007293,1
596,833,fig-009617,1
597,833,fig-009618,1
598,835,fig-007300,1
599,835,fig-007301,1
600,835,fig-007302,1
601,840,fig-000536,1
602,845,fig-009725,1
603,845,fig-009726,1
604,845,fig-009728,1
605,848,fig-000668,1
606,848,fig-004723,1
607,848,fig-004724,1
608,850,fig-005953,1
609,850,fig-005955,1
610,856,fig-001261,1
611,859,fig-000208,1
612,859,fig-000225,1
613,859,fig-000721,1
614,859,fig-008297,1
615,859,fig-008768,1
616,859,fig-008894,1
617,859,fig-009468,1
618,859,fig-009469,1
619,859,fig-009470,1
620,859,fig-009471,1
621,859,fig-009472,1
622,859,fig-009473,1
623,859,fig-009474,1
624,859,fig-009475,1
625,860,fig-001953,1
626,860,fig-004897,1
627,860,fig-004898,1
628,866,fig-000248,1
629,870,fig-000027,1
630,875,fig-000610,1
631,879,fig-006057,1
632,879,fig-006085,1
633,879,fig-006086,1
634,881,fig-000734,1
635,881,fig-004370,1
636,881,fig-004372,1
637,883,fig-005361,1
638,883,fig-005362,1
639,894,fig-004818,1
640,894,fig-005147,1
641,898,fig-004967,1
642,898,fig-006454,1
643,899,fig-000315,1
644,906,fig-004841,1
645,907,fig-009013,1
646,907,fig-009014,1
647,911,fig-000249,1
648,915,fig-001307,1
649,918,fig-000890,1
650,918,fig-001074,1
651,926,fig-000697,1
652,927,fig-008121,1
653,927,fig-008547,1
654,928,fig-008601,1
655,928,fig-008602,1
656,928,fig-008603,1
657,930,fig-002086,1
658,932,fig-000722,1
659,937,fig-005724,1
660,937,fig-005725,1
661,937,fig-005726,1
662,946,fig-002250,1
663,946,fig-004839,1
664,952,fig-005131,1
665,952,fig-005132,1
666,952,fig-005133,1
667,952,fig-005134,1
668,954,fig-004842,1
669,964,fig-002229,1
670,964,fig-006305,1
671,964,fig-006316,1
672,964,fig-006317,1
673,970,fig-000869,1
674,974,fig-003262,1
675,974,fig-003274,1
676,974,fig-003275,1
677,980,fig-008052,1
678,980,fig-009684,1
679,985,fig-007620,1
680,985,fig-007621,1
681,985,fig-007622,1
682,985,fig-007623,1
683,985,fig-007624,1
684,985,fig-007625,2
685,985,fig-007626,1
686,987,fig-000535,1
687,988,fig-000165,1
688,995,fig-002491,1
689,995,fig-002492,1
690,995,fig-002493,1
691,995,fig-002495,1
692,995,fig-002496,1
693,995,fig-002497,1
694,995,fig-002498,1
695,995,fig-002499,1
696,995,fig-002500,1
697,995,fig-002501,1
698,997,fig-000741,1
699,998,fig-008153,3
700,998,fig-008154,1
701,998,fig-008155,1
702,1000,fig-004794,1
703,1000,fig-005949,2
704,1000,fig-007982,1
705,1002,fig-002303,1
706,1002,fig-002304,1
707,1002,fig-002305,1
708,1008,fig-006729,3
709,1008,fig-007106,1
710,1011,fig-000327,1
711,1013,fig-001041,1
712,1015,fig-001280,1
713,1018,fig-002229,1
714,1018,fig-004531,1
715,1018,fig-010045,1
716,1018,fig-010046,1
717,1018,fig-010047,1
718,1018,fig-010048,1
